2011-01-05,The Truth About Fox News Viewers,-0.0840909110212868
2011-02-02,Scientists Dig 2-Mile-Long Ice Core From Antarctica's Ice,0.13529411571867325
2011-02-03,Al Gore Explains 'Snowmageddon',-0.019999999552965164
2011-02-10,Doomsday Determined? Asteroid Apophis Could Strike Earth in 2036,0.030434785005838974
2011-03-04,NASA's $400 Million Glory Satellite Lost in Pacific Ocean,-0.026923077897383615
2011-03-05,Exclusive: NASA Scientist Claims Evidence of Alien Life on Meteorite,0.14193548550528864
2011-03-19,List of Biden's Political Blunders,-0.025454547188498756
2011-03-23,Why Are the Media Ignoring Plans By George Soros to Remake the Entire Global Economy?,0.02881355975138939
2011-04-01,Satellite Maps Earth's Lumpy Misshapen Gravity Field,0.19230769517330024
2011-04-05,Google Wades Into Global Warming Debate,0.011111112518443001
2011-04-18,U.N. Prepares to Debate Whether 'Mother Earth' Deserves Human Rights Status,0.015000000968575478
2011-04-22,Carbon Dioxide--An Oppressor of No One,0.07599999994039536
2011-04-28,America's Most Feared Spider to Expand Reign Over North America,0.017500000074505806
2011-05-11,Why Don't We Hear About Soros' Ties to Over 30 Major News Organizations?,0.062295082651200845
2011-06-01,Statue of King Tut's Grandfather Discovered,0.1739130457458289
2011-06-03,Four Dirty Secrets about Clean Energy,-0.024657534716063984
2011-06-17,Changing Tides: Research Center Under Fire for 'Adjusted' Sea-Level Data,-0.06551724286942646
2011-07-06,Even U.N. Admits That Going Green Will Cost $76 Trillion,-0.020000000670552253
2011-07-21,Mass Extinction Caused by Deadly 'Earth Burp',0.08947368672019557
2011-08-15,Forty Years Ago Today Nixon Took Us Off the Gold Standard,-0.010526315358124282
2011-08-19,Aliens Could Attack Earth to End Global Warming NASA Scientist Frets,0.08823529850034152
2011-09-06,Calling Conservatives Crazy Stupid Racist and Evil SOBs,-0.0932203415086714
2011-09-14,Nobel Prize-Winning Physicist Resigns Over Global Warming,0.009523809310935792
2011-09-19,Your Vote Your Questions: You Decide What to Ask at the Fox News/Google Debate,0.021052631500520204
2011-09-24,NASA Says Satellite Fell to Earth Over Pacific Ocean,-0.20869565334009088
2011-11-20,The Importance of Drugs From the Sea,0.034782608890015144
2011-12-16,Climategate Bombshell: Did U.S. Gov't Help Hide Climate Data?,0.06428571577583041
2012-01-17,10 top reasons to visit Las Vegas right now,0.2437500023903946
2012-01-18,Six reasons Keystone XL was a bad deal all along,-0.011111112270090316
2012-02-17,Global warming -- the great delusion,0.06400000244379044
2012-03-17,Antartica belongs to all of us that's why we must preserve it,0.047368420582068596
2012-03-30,Let there be light: 'Human Achievement Hour' to coincide with Earth Hour,0.11176470667123795
2012-04-16,The new cold war: Militaries eying Arctic resources,0.0031250002793967724
2012-04-22,Earth Day a reminder of the benefits of industrial progress,0.17972973119970914
2012-05-05,Wind farms are warming the earth researchers say,0.0722222232984172
2012-05-07,Dinosaurs 'gassed' themselves into extinction British scientists say,0.07500000111758709
2012-05-25,There is no 'social justice' without economic freedom,0.14857142695358821
2012-05-28,Global warming skeptics as knowledgeable about science as climate change believers study says,0.07727272774685513
2012-05-29,New ticks spread across Southeast diseases rise,0.030000000074505807
